Chat id,GoldSet
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,0
14,0
15,2
16,1
17,1
18,0
19,0
20,2
21,0
22,0
23,0
24,1
25,0
26,0
27,2
28,0
29,0
30,0
31,0
32,1
33,0
34,2
35,0
36,0
37,0
38,7
39,0
40,1
41,1
42,1
43,0
44,0
45,4
46,9
47,0
48,0
49,0
50,0
